2024 City of Sydney Blitz
Sydney - 03/03/2024, 03/03/2024

 Cross Table at round 9 sorted by score

Pos NAME                           Rtg   T  Fed  Pts |   1     2     3     4     5     6     7     8     9    |   User 
 45 Shaw,William                   1592     TAS  4.0 | -W30  +B80  -W14  -B47  +W78  +B38  =W23  -B42  =W53   |    0.0 
 46 Kyaw,Michael                   1771     NSW  4.0 | -W8   +B75  -W9   +B68  +W32  -B37  +B31  -W18  -B26   |    0.0 
 47 Rosario,Amiel                  1815     NSW  4.0 | -B29  -W63  +B42  +W45  -B16  -W51  +B68  +W62  -B31   |    0.0 
 48 Welch,Ian                      1970     NSW  4.0 | +W76  -B25  +W59  -B9   -W49  +B60  +W56  -B27  -W35   |    0.0 
 49 Jain,Kamal                     1762     NSW  4.0 | -W10  +B69  -B5   +W51  +B48  -W24  -B40  +W57  -B36   |    0.0 
 50 Chang,Chong Yew                   0     NSW  4.0 | -W11  +B60  -W36  +B74  -W42  +B67  +W39  -B37  -W38   |    0.0 
 51 Hamilton,Kevin                 1485     NSW  4.0 | -W22  -B9   +W80  -B49  +W57  +B47  -B34  -W36  +B67   |    0.0 
 52 He,Nathan                      1884     NSW  4.0 | +F86  -B30  +W76  -B17  +W70  -W18  +B55  -W14  -B33   |    0.0 
 53 Boss,Stephen                   1856     NSW  4.0 | +B72  =W26  -B15  -W66  +B63  -W29  -B33  +W76  =B45   |    0.0 
 54 Wong,Benjamin                  1628     NSW  4.0 | -W25  -B76  +W57  +B78  -W23  +B70  +W66  -B17  -W30   |    0.0 
 55 Gorantla,Karunya               1473     NSW  4.0 | -W12  -B36  +W79  -B67  +W73  +B65  -W52  +B56  -W39   |    0.0 
 56 Dingley,Justin                 1763     NSW  4.0 | -B1   +W70  -B21  +W62  -B24  +W68  -B48  -W55  +B71   |    0.0 
 57 Xu,Kevin                       1162     NSW  4.0 | -B34  -W35  -B54  +W71  -B51  +W75  +B63  -B49  +W73   |    0.0 
 58 Maleki,Aiden                   1639     NSW  4.0 | -W28  -B78  +W83  +B75  -W37  +B69  -W32  -B39  +W70   |    0.0 
