2024 NSW Rapid
 Cross Table at round 7 sorted by score

Pos NAME                           Rtg   T  Fed  Pts |   1     2     3     4     5     6     7    |  User  
 51 Thuaux,Alexander               1687     NSW  4.0 | -B14  +W108 -B13  +W129 +B111 +W62  -B11   |    0.0 
 52 Chen,Tom                       1613     NSW  4.0 | -W18  +B132 =W16  +B135 -W27  =W65  +B111  |    0.0 
 53 Tay,Mason                      1594     NSW  4.0 | -W29  +B135 +W40  -B16  +W132 -B18  +W110  |    0.0 
 54 Shaw,William                   1525     NSW  4.0 | +W20  -B4   -W41  +B48  +W135 +F40  -B16   |    0.0 
 55 Bitolkoski,Hristijan           1455     MKD  4.0 | +W145 -W13  -B108 +B137 +W110 -B20  +W85   |    0.0 
 56 Naing,Sithu                    1426     MYA  4.0 | +W140 =B39  =W85  -B4   -W40  +B132 +W86   |    0.0 
 57 Nguyen,Anthony                 1357     NSW  4.0 | +B21  -W46  +B142 -W65  -B43  +W133 +B87   |    0.0 
 58 Khishigbaatar,Tuvshintugs       775     MGL  4.0 | +BYE  +W73  -B114 +W68  -B8   +W50  -B17   |    0.0 
 59 Enan,Eisha                        0     BAN  4.0 | =B36  =W115 +B94  =W31  +B66  =W67  -W19   |    0.0 
 60 Fuller,Nicholas                   0     NSW  4.0 | -W116 +B104 +W96  =B86  +W63  =B26  -W20   |    0.0 
 61 He,David                          0     AUS  4.0 | +W99  -B143 +W97  -B72  +W49  -B45  +W88   |    0.0 
 62 Rummery,Ben                       0     AUS  4.0 | +W104 +B79  -W32  +B90  -W15  -B51  +B89   |    0.0 
 63 Nguyen,Ngoc Hai                2109     VIE  3.5 | -B71  +W75  -B50  +W143 -B60  +W124 =B78   |    0.0 
 64 Hill,Martin                    2009     NZL  3.5 | +W74  -B2   -W49  +B144 =W83  +B93  -W32   |    0.0 
 65 Li,Jason                       1987     NSW  3.5 | =W88  -B33  +W127 +B57  -W36  =B52  =B80   |    0.0 
 66 Barakat,Martin                 1937     NSW  3.5 | +W143 =B6   +W123 -B12  -W59  =B90  =W81   |    0.0 
 67 Milson,Tyler                   1857     NSW  3.5 | +F149 -W1   +B77  +W89  -B13  =B59  -W34   |    0.0 
 68 Yaqoob,Yaqoob                  1844     NSW  3.5 | +W80  -B25  =W90  -B58  +W119 +B79  -W35   |    0.0 
 69 Lawes,Alexander                1784     NSW  3.5 | -W2   +B83  +W144 -B81  +W97  =B74  -W36   |    0.0 
 70 Wan,Dennis                 (W) 1748     NSW  3.5 | -B8   +W128 =B22  -W108 +B120 +W82   --    |    0.0 
 71 Jain,Kamal                     1727     NSW  3.5 | +W63  -B26  -W7   =B95  -W84  +B140 +W116  |    0.0 
 72 Vyshnivetskyy,Vlad             1726     NSW  3.5 | =B24  -W27  +B126 +W61  -B25  -W35  +B113  |    0.0 
